puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
5,0,5,253.7,1000,2000,0.05,1000,0.3,0.2,4,100
0,0,2,280.56,1000,2000,0.3,1000,0.3,0.1,5,100
7,0,4,64.64,1000,500,0.05,1000,0.4,0.1,4,100
8,0,4,64.62,1000,500,0.3,1000,0.1,0.4,4,100
7,0,2,696.92,1000,5000,0.05,1000,0.1,0.3,5,100
4,0,4,634.37,1000,5000,0.05,1000,0.3,0.2,4,100
8,0,4,635.85,1000,5000,0.1,1000,0.3,0.2,4,100
2,0,5,280.34,1000,2000,0.05,1000,0.1,0.3,5,100
10,0,2,64.07,1000,500,0.3,1000,0.2,0.3,4,100
3,0,3,329.05,1000,2000,0.3,1000,0.1,0.1,10,100
6,0,2,251.65,1000,2000,0.1,1000,0.3,0.2,4,100
4,0,2,255.38,1000,2000,0.3,1000,0.4,0.1,4,100
8,0,4,701.1,1000,5000,0.05,1000,0.1,0.3,5,100
9,0,4,83.13,1000,500,0.2,1000,0.1,0.1,10,100
3,0,2,254.41,1000,2000,0.3,1000,0.1,0.4,4,100
3,0,3,63.89,1000,500,0.3,1000,0.3,0.2,4,100
1,0,6,83.42,1000,500,0.05,1000,0.1,0.1,10,100
7,1,0,729.25,879,5000,0.2,1000,0.1,0.1,10,100
8,0,4,636.38,1000,5000,0.1,1000,0.1,0.4,4,100
2,0,2,698.76,1000,5000,0.2,1000,0.3,0.1,5,100
5,1,0,554.12,872,5000,0.3,1000,0.3,0.2,4,100
3,0,2,638.4,1000,5000,0.1,1000,0.4,0.1,4,100
8,0,4,831.0,1000,5000,0.05,1000,0.1,0.1,10,100
10,0,2,253.46,1000,2000,0.2,1000,0.4,0.1,4,100
3,0,2,70.72,1000,500,0.2,1000,0.3,0.1,5,100
8,0,2,643.23,1000,5000,0.05,1000,0.2,0.3,4,100
1,0,2,634.38,1000,5000,0.1,1000,0.2,0.3,4,100
7,0,4,64.36,1000,500,0.1,1000,0.3,0.2,4,100
3,0,2,332.23,1000,2000,0.3,1000,0.1,0.1,10,100
1,0,2,280.07,1000,2000,0.2,1000,0.2,0.2,5,100
1,0,6,71.12,1000,500,0.05,1000,0.1,0.3,5,100
6,1,0,58.5,932,500,0.05,1000,0.4,0.1,4,100
3,0,4,278.82,1000,2000,0.1,1000,0.3,0.1,5,100
10,0,4,64.07,1000,500,0.2,1000,0.4,0.1,4,100
3,0,2,699.21,1000,5000,0.2,1000,0.3,0.1,5,100
5,0,6,828.52,1000,5000,0.05,1000,0.1,0.1,10,100
3,0,3,253.24,1000,2000,0.05,1000,0.2,0.3,4,100
7,0,2,257.12,1000,2000,0.3,1000,0.1,0.4,4,100
3,0,5,64.14,1000,500,0.05,1000,0.1,0.4,4,100
3,0,4,70.17,1000,500,0.1,1000,0.1,0.3,5,100
7,0,4,256.37,1000,2000,0.05,1000,0.2,0.3,4,100
10,0,2,638.37,1000,5000,0.3,1000,0.1,0.4,4,100
9,0,3,631.48,1000,5000,0.05,1000,0.4,0.1,4,100
6,0,2,330.29,1000,2000,0.3,1000,0.1,0.1,10,100
2,0,2,697.68,1000,5000,0.1,1000,0.3,0.1,5,100
6,0,2,278.11,1000,2000,0.1,1000,0.1,0.3,5,100
0,0,4,829.5,1000,5000,0.05,1000,0.1,0.1,10,100
0,0,2,631.68,1000,5000,0.1,1000,0.4,0.1,4,100
7,1,0,191.69,230,5000,0.1,1000,0.1,0.1,10,100
6,0,2,690.39,1000,5000,0.1,1000,0.2,0.2,5,100
7,1,0,52.37,749,500,0.2,1000,0.3,0.1,5,100
1,0,4,637.41,1000,5000,0.2,1000,0.3,0.2,4,100
6,0,2,64.07,1000,500,0.3,1000,0.1,0.4,4,100
0,0,6,64.31,1000,500,0.05,1000,0.2,0.3,4,100
5,0,2,630.61,1000,5000,0.1,1000,0.4,0.1,4,100
4,0,4,63.97,1000,500,0.1,1000,0.2,0.3,4,100
10,0,2,333.01,1000,2000,0.2,1000,0.1,0.1,10,100
7,0,4,63.83,1000,500,0.05,1000,0.4,0.1,4,100
3,0,4,69.8,1000,500,0.1,1000,0.2,0.2,5,100
7,0,4,702.04,1000,5000,0.05,1000,0.3,0.1,5,100
4,0,2,709.02,1000,5000,0.3,1000,0.1,0.3,5,100
2,0,2,331.33,1000,2000,0.3,1000,0.1,0.1,10,100
8,0,4,253.42,1000,2000,0.2,1000,0.2,0.3,4,100
3,0,2,631.74,1000,5000,0.3,1000,0.2,0.3,4,100
8,0,6,70.15,1000,500,0.1,1000,0.3,0.1,5,100
3,0,2,281.62,1000,2000,0.3,1000,0.1,0.3,5,100
1,0,2,701.55,1000,5000,0.2,1000,0.3,0.1,5,100
0,0,4,702.03,1000,5000,0.1,1000,0.3,0.1,5,100
9,0,2,329.98,1000,2000,0.3,1000,0.1,0.1,10,100
3,0,3,63.17,1000,500,0.2,1000,0.4,0.1,4,100
1,0,4,63.53,1000,500,0.3,1000,0.2,0.3,4,100
2,0,2,276.8,1000,2000,0.3,1000,0.3,0.1,5,100
6,0,2,692.78,1000,5000,0.1,1000,0.1,0.3,5,100
3,0,5,63.16,1000,500,0.05,1000,0.3,0.2,4,100
3,0,2,825.25,1000,5000,0.3,1000,0.1,0.1,10,100
9,0,4,329.63,1000,2000,0.2,1000,0.1,0.1,10,100
9,0,4,62.99,1000,500,0.2,1000,0.3,0.2,4,100
1,0,4,277.23,1000,2000,0.1,1000,0.3,0.1,5,100
9,0,5,63.43,1000,500,0.05,1000,0.4,0.1,4,100
1,0,6,251.82,1000,2000,0.05,1000,0.3,0.2,4,100
4,0,2,634.31,999,5000,0.2,1000,0.2,0.3,4,100
8,0,6,63.86,1000,500,0.05,1000,0.3,0.2,4,100
10,0,4,63.79,1000,500,0.2,1000,0.1,0.4,4,100
2,0,4,63.14,1000,500,0.2,1000,0.2,0.3,4,100
10,0,5,63.6,1000,500,0.1,1000,0.4,0.1,4,100
7,0,2,70.02,1000,500,0.2,1000,0.2,0.2,5,100
1,0,6,70.14,1000,500,0.05,1000,0.1,0.3,5,100
7,0,5,82.79,1000,500,0.1,1000,0.1,0.1,10,100
8,0,2,634.4,1000,5000,0.2,1000,0.4,0.1,4,100
5,0,2,639.49,1000,5000,0.3,1000,0.4,0.1,4,100
5,0,4,253.08,1000,2000,0.3,1000,0.4,0.1,4,100
4,0,4,280.09,1000,2000,0.05,1000,0.2,0.2,5,100
9,0,3,326.07,1000,2000,0.1,1000,0.1,0.1,10,100
4,0,4,254.42,1000,2000,0.2,1000,0.1,0.4,4,100
1,0,4,278.98,1000,2000,0.05,1000,0.2,0.2,5,100
