puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
27,0,4,688.5,1000,5000,0.4,1000,0.3,0.2,4,150
51,0,2,827.58,1000,5000,0.4,1000,0.2,0.3,4,150
91,0,4,886.02,1000,5000,0.1,1000,0.2,0.2,5,150
15,0,4,874.16,1000,5000,0.1,1000,0.4,0.1,4,150
56,0,2,942.24,1000,5000,0.4,1000,0.3,0.1,5,150
28,0,2,1061.87,1000,5000,0.4,1000,0.2,0.2,5,150
43,0,4,1108.58,1000,5000,0.1,1000,0.1,0.3,5,150
75,0,4,1205.66,1000,5000,0.3,1000,0.2,0.2,5,150
0,0,2,1262.62,1000,5000,0.3,1000,0.2,0.2,5,150
90,0,4,1276.91,1000,5000,0.1,1000,0.1,0.3,5,150
75,0,4,1409.09,1000,5000,0.2,1000,0.1,0.1,10,150
4,0,2,1237.79,1000,5000,0.1,1000,0.1,0.3,5,150
29,0,4,1419.8,1000,5000,0.4,1000,0.1,0.1,10,150
27,0,4,1083.99,1000,5000,0.4,1000,0.4,0.1,4,150
92,0,4,1059.21,1000,5000,0.1,1000,0.1,0.4,4,150
9,0,4,1199.13,1000,5000,0.2,1000,0.3,0.1,5,150
35,0,4,1194.66,1000,5000,0.4,1000,0.2,0.2,5,150
31,0,2,1069.08,1000,5000,0.3,1000,0.4,0.1,4,150
52,0,2,1055.79,1000,5000,0.3,1000,0.4,0.1,4,150
12,0,3,1166.59,1000,5000,0.1,1000,0.2,0.2,5,150
52,0,2,1053.13,1000,5000,0.4,1000,0.3,0.2,4,150
45,0,4,1079.36,1000,5000,0.4,1000,0.3,0.2,4,150
84,0,2,1181.26,1000,5000,0.3,1000,0.1,0.3,5,150
93,0,2,1127.96,1000,5000,0.2,1000,0.4,0.1,4,150
93,0,3,1168.51,1000,5000,0.2,1000,0.3,0.2,4,150
7,0,4,1250.57,1000,5000,0.3,1000,0.1,0.3,5,150
24,0,2,1228.85,1000,5000,0.4,1000,0.2,0.2,5,150
13,0,4,1240.8,1000,5000,0.2,1000,0.3,0.1,5,150
86,0,2,1450.17,1000,5000,0.4,1000,0.1,0.1,10,150
17,0,3,1026.81,1000,5000,0.1,1000,0.4,0.1,4,150
68,0,4,1155.44,1000,5000,0.1,1000,0.2,0.2,5,150
23,0,2,955.92,1000,5000,0.4,1000,0.3,0.2,4,150
59,0,2,920.86,1000,5000,0.2,1000,0.2,0.3,4,150
70,0,3,917.12,1000,5000,0.1,1000,0.4,0.1,4,150
9,0,4,1024.97,1000,5000,0.4,1000,0.2,0.2,5,150
6,0,4,983.68,1000,5000,0.3,1000,0.1,0.3,5,150
62,0,2,858.78,1000,5000,0.3,1000,0.3,0.2,4,150
27,0,4,873.79,1000,5000,0.3,1000,0.4,0.1,4,150
7,0,2,883.57,1000,5000,0.2,1000,0.3,0.2,4,150
21,0,2,969.69,1000,5000,0.4,1000,0.2,0.2,5,150
48,0,2,896.74,1000,5000,0.3,1000,0.1,0.4,4,150
11,0,2,1138.09,1000,5000,0.1,1000,0.1,0.1,10,150
58,0,4,864.63,1000,5000,0.1,1000,0.2,0.3,4,150
54,0,2,850.48,1000,5000,0.3,1000,0.2,0.3,4,150
49,0,4,1127.99,1000,5000,0.1,1000,0.1,0.1,10,150
19,0,2,842.67,1000,5000,0.4,1000,0.4,0.1,4,150
37,0,3,887.35,1000,5000,0.1,1000,0.2,0.2,5,150
7,0,4,866.05,1000,5000,0.2,1000,0.2,0.2,5,150
64,0,2,723.19,1000,5000,0.3,1000,0.4,0.1,4,150
7,0,6,714.21,1000,5000,0.3,1000,0.1,0.4,4,150
23,0,2,737.93,1000,5000,0.2,1000,0.1,0.3,5,150
76,0,2,717.67,1000,5000,0.1,1000,0.1,0.3,5,150
40,0,2,935.64,1000,5000,0.4,1000,0.1,0.1,10,150
6,0,2,945.03,1000,5000,0.4,1000,0.1,0.1,10,150
86,0,2,723.29,1000,5000,0.1,1000,0.1,0.3,5,150
51,0,2,728.97,1000,5000,0.4,1000,0.2,0.2,5,150
72,0,3,745.97,1000,5000,0.4,1000,0.1,0.3,5,150
53,0,2,726.11,1000,5000,0.2,1000,0.1,0.3,5,150
79,0,2,867.23,1000,5000,0.3,1000,0.1,0.1,10,150
33,0,4,722.5,1000,5000,0.1,1000,0.3,0.1,5,150
85,0,4,730.29,1000,5000,0.2,1000,0.2,0.2,5,150
30,0,4,728.21,1000,5000,0.1,1000,0.3,0.1,5,150
50,0,4,654.58,1000,5000,0.1,1000,0.2,0.3,4,150
85,0,3,657.98,1000,5000,0.1,1000,0.1,0.4,4,150
58,0,2,660.33,1000,5000,0.4,1000,0.2,0.3,4,150
9,0,4,727.83,1000,5000,0.1,1000,0.3,0.1,5,150
9,0,4,727.26,1000,5000,0.3,1000,0.1,0.3,5,150
64,0,2,733.48,1000,5000,0.2,1000,0.2,0.2,5,150
16,0,5,656.24,1000,5000,0.1,1000,0.2,0.3,4,150
58,0,2,850.25,1000,5000,0.1,1000,0.1,0.1,10,150
8,0,2,730.22,1000,5000,0.3,1000,0.3,0.1,5,150
36,0,4,732.71,1000,5000,0.4,1000,0.3,0.1,5,150
56,0,2,666.31,1000,5000,0.3,1000,0.1,0.4,4,150
78,0,2,672.95,1000,5000,0.4,1000,0.2,0.3,4,150
84,0,2,664.55,1000,5000,0.4,1000,0.2,0.3,4,150
17,0,4,733.71,1000,5000,0.3,1000,0.1,0.3,5,150
14,0,4,662.74,1000,5000,0.1,1000,0.2,0.3,4,150
85,0,2,844.26,1000,5000,0.1,1000,0.1,0.1,10,150
34,0,5,672.67,1000,5000,0.2,1000,0.1,0.4,4,150
70,0,4,730.36,1000,5000,0.3,1000,0.1,0.3,5,150
77,0,2,658.13,1000,5000,0.3,1000,0.2,0.3,4,150
91,0,3,726.63,1000,5000,0.2,1000,0.2,0.2,5,150
64,0,4,663.7,1000,5000,0.1,1000,0.2,0.3,4,150
26,0,6,734.44,1000,5000,0.2,1000,0.3,0.1,5,150
32,0,2,661.83,1000,5000,0.4,1000,0.4,0.1,4,150
35,0,4,664.61,1000,5000,0.4,1000,0.3,0.2,4,150
94,0,3,664.99,1000,5000,0.3,1000,0.1,0.4,4,150
11,0,2,860.88,1000,5000,0.4,1000,0.1,0.1,10,150
16,0,2,728.94,1000,5000,0.2,1000,0.3,0.1,5,150
0,0,2,855.26,1000,5000,0.3,1000,0.1,0.1,10,150
71,0,2,658.24,1000,5000,0.4,1000,0.3,0.2,4,150
70,0,4,666.55,1000,5000,0.1,1000,0.4,0.1,4,150
88,0,5,720.78,1000,5000,0.1,1000,0.1,0.3,5,150
69,0,2,651.99,1000,5000,0.2,1000,0.1,0.4,4,150
14,0,5,857.83,1000,5000,0.1,1000,0.1,0.1,10,150
55,0,2,657.42,1000,5000,0.2,1000,0.1,0.4,4,150
5,0,5,666.24,1000,5000,0.1,1000,0.1,0.4,4,150
47,0,2,863.01,1000,5000,0.3,1000,0.1,0.1,10,150
46,0,2,664.38,1000,5000,0.4,1000,0.2,0.3,4,150
87,0,2,724.05,1000,5000,0.2,1000,0.2,0.2,5,150
79,0,3,664.03,1000,5000,0.3,1000,0.3,0.2,4,150
30,0,4,669.9,1000,5000,0.2,1000,0.1,0.4,4,150
71,0,4,724.77,1000,5000,0.3,1000,0.3,0.1,5,150
45,0,4,867.88,1000,5000,0.3,1000,0.1,0.1,10,150
22,0,2,664.72,1000,5000,0.3,1000,0.1,0.4,4,150
3,0,4,660.38,1000,5000,0.3,1000,0.3,0.2,4,150
94,0,2,663.32,1000,5000,0.4,1000,0.1,0.4,4,150
52,0,3,721.79,1000,5000,0.2,1000,0.3,0.1,5,150
20,0,4,656.17,1000,5000,0.2,1000,0.2,0.3,4,150
4,0,4,653.08,1000,5000,0.1,1000,0.3,0.2,4,150
28,0,2,650.18,1000,5000,0.3,1000,0.4,0.1,4,150
58,0,2,723.48,1000,5000,0.1,1000,0.2,0.2,5,150
39,0,2,714.48,1000,5000,0.3,1000,0.3,0.1,5,150
28,0,2,724.56,1000,5000,0.3,1000,0.2,0.2,5,150
51,0,2,720.23,1000,5000,0.1,1000,0.2,0.2,5,150
84,0,2,853.04,1000,5000,0.2,1000,0.1,0.1,10,150
35,0,2,726.17,1000,5000,0.2,1000,0.3,0.1,5,150
35,0,4,721.53,1000,5000,0.1,1000,0.1,0.3,5,150
82,0,4,731.83,1000,5000,0.3,1000,0.3,0.1,5,150
86,0,2,652.77,1000,5000,0.2,1000,0.3,0.2,4,150
3,0,4,724.69,1000,5000,0.2,1000,0.3,0.1,5,150
33,0,3,732.33,1000,5000,0.4,1000,0.1,0.3,5,150
74,0,2,663.89,1000,5000,0.4,1000,0.1,0.4,4,150
93,0,4,724.37,1000,5000,0.3,1000,0.3,0.1,5,150
55,0,4,726.24,1000,5000,0.1,1000,0.3,0.1,5,150
49,0,4,738.33,1000,5000,0.4,1000,0.1,0.3,5,150
13,0,4,881.74,1000,5000,0.3,1000,0.1,0.1,10,150
32,0,2,714.41,1000,5000,0.1,1000,0.2,0.2,5,150
55,0,2,726.56,1000,5000,0.4,1000,0.3,0.1,5,150
79,0,2,732.31,1000,5000,0.2,1000,0.3,0.1,5,150
90,0,4,865.37,1000,5000,0.3,1000,0.1,0.1,10,150
66,0,4,862.96,1000,5000,0.1,1000,0.1,0.1,10,150
84,0,2,723.69,1000,5000,0.1,1000,0.3,0.1,5,150
64,0,3,668.71,1000,5000,0.4,1000,0.2,0.3,4,150
92,0,2,735.6,1000,5000,0.4,1000,0.1,0.3,5,150
85,0,2,659.51,1000,5000,0.4,1000,0.2,0.3,4,150
41,0,4,671.69,1000,5000,0.3,1000,0.3,0.2,4,150
89,0,2,658.24,1000,5000,0.2,1000,0.3,0.2,4,150
70,0,3,668.12,1000,5000,0.3,1000,0.2,0.3,4,150
24,0,3,655.73,1000,5000,0.1,1000,0.1,0.4,4,150
85,0,2,655.15,1000,5000,0.3,1000,0.3,0.2,4,150
86,0,2,659.47,1000,5000,0.1,1000,0.3,0.2,4,150
51,0,2,661.36,1000,5000,0.4,1000,0.2,0.3,4,150
78,0,4,671.1,1000,5000,0.4,1000,0.1,0.4,4,150
26,0,4,665.75,1000,5000,0.3,1000,0.2,0.3,4,150
59,0,2,725.73,1000,5000,0.1,1000,0.3,0.1,5,150
38,0,2,852.38,1000,5000,0.1,1000,0.1,0.1,10,150
56,0,2,650.96,1000,5000,0.1,1000,0.4,0.1,4,150
94,0,5,665.03,1000,5000,0.3,1000,0.4,0.1,4,150
65,0,2,728.8,1000,5000,0.2,1000,0.2,0.2,5,150
36,0,5,729.2,1000,5000,0.2,1000,0.1,0.3,5,150
11,0,2,713.07,1000,5000,0.2,1000,0.3,0.1,5,150
28,0,2,654.65,1000,5000,0.4,1000,0.2,0.3,4,150
3,0,4,659.41,1000,5000,0.2,1000,0.1,0.4,4,150
78,0,2,653.52,1000,5000,0.3,1000,0.4,0.1,4,150
53,0,2,642.29,1000,5000,0.2,1000,0.4,0.1,4,150
63,0,2,644.97,1000,5000,0.1,1000,0.3,0.2,4,150
31,0,2,842.3,1000,5000,0.3,1000,0.1,0.1,10,150
31,0,2,632.44,1000,5000,0.2,1000,0.3,0.2,4,150
83,0,4,639.22,1000,5000,0.2,1000,0.1,0.4,4,150
6,0,4,650.91,1000,5000,0.2,1000,0.4,0.1,4,150
22,0,4,712.07,1000,5000,0.3,1000,0.2,0.2,5,150
59,0,2,641.39,1000,5000,0.1,1000,0.1,0.4,4,150
78,0,4,641.7,1000,5000,0.1,1000,0.4,0.1,4,150
58,0,2,714.95,1000,5000,0.4,1000,0.1,0.3,5,150
20,0,4,644.56,1000,5000,0.1,1000,0.4,0.1,4,150
57,0,2,637.02,1000,5000,0.3,1000,0.4,0.1,4,150
80,0,2,640.11,1000,5000,0.4,1000,0.4,0.1,4,150
9,0,4,643.03,1000,5000,0.1,1000,0.4,0.1,4,150
30,0,2,642.05,1000,5000,0.3,1000,0.2,0.3,4,150
17,0,4,710.51,1000,5000,0.2,1000,0.1,0.3,5,150
29,0,2,642.24,1000,5000,0.2,1000,0.1,0.4,4,150
88,0,2,641.92,1000,5000,0.1,1000,0.3,0.2,4,150
90,0,2,644.24,1000,5000,0.2,1000,0.1,0.4,4,150
52,0,2,636.59,1000,5000,0.3,1000,0.3,0.2,4,150
53,0,4,642.24,1000,5000,0.2,1000,0.4,0.1,4,150
49,0,2,645.84,1000,5000,0.3,1000,0.3,0.2,4,150
61,0,4,644.31,1000,5000,0.1,1000,0.3,0.2,4,150
26,0,4,851.78,1000,5000,0.4,1000,0.1,0.1,10,150
53,0,3,635.77,1000,5000,0.1,1000,0.3,0.2,4,150
73,0,4,840.65,1000,5000,0.2,1000,0.1,0.1,10,150
38,0,2,705.17,1000,5000,0.3,1000,0.3,0.1,5,150
3,0,2,639.43,1000,5000,0.4,1000,0.4,0.1,4,150
62,0,2,702.91,1000,5000,0.3,1000,0.2,0.2,5,150
43,0,2,641.16,1000,5000,0.1,1000,0.3,0.2,4,150
92,0,2,642.29,1000,5000,0.2,1000,0.3,0.2,4,150
16,0,3,634.5,1000,5000,0.2,1000,0.4,0.1,4,150
59,0,4,637.5,1000,5000,0.1,1000,0.1,0.4,4,150
50,0,2,828.17,1000,5000,0.2,1000,0.1,0.1,10,150
6,0,2,654.75,1000,5000,0.4,1000,0.1,0.4,4,150
10,0,6,848.4,1000,5000,0.2,1000,0.1,0.1,10,150
41,0,6,642.46,1000,5000,0.1,1000,0.3,0.2,4,150
41,0,2,638.77,1000,5000,0.2,1000,0.4,0.1,4,150
32,0,2,640.32,1000,5000,0.3,1000,0.3,0.2,4,150
60,0,2,704.38,1000,5000,0.2,1000,0.1,0.3,5,150
69,0,2,830.54,1000,5000,0.2,1000,0.1,0.1,10,150
44,0,2,840.47,1000,5000,0.4,1000,0.1,0.1,10,150
3,0,6,846.24,1000,5000,0.3,1000,0.1,0.1,10,150
30,0,4,641.22,1000,5000,0.2,1000,0.1,0.4,4,150
79,0,2,835.95,1000,5000,0.2,1000,0.1,0.1,10,150
60,0,3,638.78,1000,5000,0.1,1000,0.1,0.4,4,150
91,0,2,634.84,1000,5000,0.2,1000,0.3,0.2,4,150
72,0,4,722.51,1000,5000,0.4,1000,0.1,0.3,5,150
21,0,2,703.79,1000,5000,0.4,1000,0.3,0.1,5,150
20,0,4,712.61,1000,5000,0.4,1000,0.1,0.3,5,150
44,0,3,832.51,1000,5000,0.3,1000,0.1,0.1,10,150
8,0,2,709.85,1000,5000,0.4,1000,0.3,0.1,5,150
62,0,2,638.14,1000,5000,0.3,1000,0.3,0.2,4,150
93,0,2,650.31,1000,5000,0.4,1000,0.1,0.4,4,150
